"","Longitude","Latitude","TimeSinceLogging","TimeSinceWildfire","TimeSinceHazardReduction","Severity","Total","Tree","CoarseWoodyDebris","DeadTree","Understorey","Litter"
"1",150.09155,-35.632661,53,43,"10-35","Low",-28.795073421977,-26.2722937475387,5.40785345804406,0,0.194366867518,-8.125
"2",150.095223,-35.636419,14,43,"10-35","Low",-4.98863789949,-0.939030816550478,-1.79560708293955,0,0,-2.254
"3",150.164973,-35.644874,17,56,"10-35","Moderate",-98.0237535952508,-52.2583265384416,-20.6110407675305,-0.383728068,-13.2356582212793,-11.535
"4",150.16239118,-35.644343664,48,55,"35+","High",5.03973248064298,5.12782516170829,4.6010515265227,3.10789437424,-0.122038581828629,-7.675
"5",150.102145,-35.804633,15,52,"10-35","High",-44.4432464590841,-10.4222756879323,-24.766944645306,6.179789908,-8.72881603384569,-6.705
"6",150.105606,-35.80363,41,52,"10-35","High",-88.1512343167123,-40.5123536863495,-22.4002432832314,-0.12691571424,-16.4167216328917,-8.695
"7",150.12753,-35.784941,5,17,"10-35","High",-45.1358968406088,-3.13325785759194,-38.4331012201036,0,-0.614537762913261,-2.955
"8",150.120316,-35.785741,31,17,"35+","High",0.175641420898003,15.4003630444136,-7.00240845821374,-0.696669588,-0.144643577301953,-7.381
"9",150.087552,-35.81657,4,11,"10-35","High",-24.6428680571901,-4.36944837376973,-19.4809186560064,0,-0.617501027413997,-0.175
"10",150.09093,-35.81759,13,26,"35+","High",-54.58786878604,-42.0226696783618,-9.27851751105908,1.700086992,-3.06976858861953,-1.917
"11",150.080153,-35.630566,53,81,"10-35","High",-73.48951624991,-59.4996797440619,0.50826411432829,0,-9.22710062017657,-5.271
"12",150.115393,-35.720673,3,8,"<10","High",-101.074805416138,-12.5087106527782,-80.8256654459839,1.9329583,-8.94338761737579,-0.73
"13",150.153605,-35.764807,14,26,"10-35","High",-33.9748621773418,-28.3169328960484,0.0978770806870302,0.495659648,-0.0164660099805631,-6.235
"14",150.144206,-35.757782,28,26,"10-35","High",-26.293563799847,-21.5757176415235,1.9235008711304,0.0582262521599999,-0.0545732816139239,-6.645
"15",150.14376218,-35.763335196,12,11,"10-35","High",-22.3110128160512,7.87339565042627,-22.3885828226624,-0.065458286554879,-0.811367357260147,-6.919
"16",150.120564,-35.780074,38,17,"10-35","High",-17.4176387238746,-13.1459472324421,0.59791636018767,4.535306216,-0.299914067620287,-9.105
"17",150.116715,-35.719835,19,8,"<10","Moderate",-14.9241130262282,8.48909878704804,-5.70913877571032,-0.22892483168,-15.2551482058859,-2.22
"18",150.42763098,-35.114926031,30,7,"10-35","Moderate",-52.827883039741,-46.3837853170658,-0.8022944996407,-0.47083288,-0.698970343034361,-4.472
"19",150.251259,-35.503863,65,39,"35+","High",-34.408774395441,-23.34732172471,-6.34363771287501,0,-0.707814957855557,-4.01
"20",150.310711,-35.466276,59,26,"10-35","High",-49.838648467699,-25.3336190116807,-15.9282206542012,0.65044485504,-2.65025365685676,-6.577
"21",150.308264,-35.467383,59,26,"35+","High",-50.740618607139,-33.0657031612332,-10.5609958339077,0.27999574,-2.63591535199798,-4.758
"22",150.308666,-35.468147,71,26,"35+","High",-61.373590797413,-48.3080285749727,-8.83056880278558,0.2033162256,-0.360309645253985,-4.078
"23",150.28245,-35.408443,62,52,"10-35","Moderate",-73.56113613743,-52.4452660109286,-3.7884666318973,-7.58772416592,-2.53867932868298,-7.201
"24",150.304972,-35.395195,35,34,"<10","Low",-75.5097778064901,-56.460706067995,-13.5653924703298,0.864490292,-0.113169560165481,-6.235
"25",150.330223,-35.405057,8,32,"<10","High",-62.476953588127,-29.8128599871218,-22.4273340971625,-2.455818208,-1.10594129584255,-6.675
"26",150.335868,-35.406987,35,32,"<10","Low",-8.87216632110602,-12.4601505610561,8.13375783859581,0.0707588,-0.149532398645662,-4.467
"27",150.326384,-35.422105,35,48,"<10","Low",-14.172108634705,4.49190140943401,-10.726218077979,-4.018825152,0.0510331858401171,-3.97
"28",150.311497,-35.47467,71,26,"35+","Moderate",-43.965620398245,-82.2358009463843,9.5578850363463,37.6136348136,-1.52133930180771,-7.38
"29",150.314287,-35.440723,65,38,"35+","Low",-6.409421655546,-14.0862121706907,20.1473265505787,0.18091304,-4.95144907543408,-7.7
"30",150.312767,-35.451879,81,26,"35+","Low",-27.767370204922,-11.0821257839069,-4.76620035718648,-3.860318208,-1.08039252249467,-6.97833333333333
"31",150.317595,-35.476662,71,17,"35+","High",-2.05751007382798,3.89300109404482,0.545225749911729,1.446121808,-2.32685872578372,-5.615
"32",150.365342,-35.441397,45,30,"<10","High",14.0148785229021,17.5453645377435,-2.54570874580223,0.0707588,-0.105536069038846,-0.95
"33",150.317812,-35.458622,59,26,"10-35","High",-56.05545191351,-40.107222156261,4.5760455842747,-7.779602828,-1.29767251352298,-11.447
"34",150.3549,-35.442771,4,40,"35+","Moderate",-9.3265676389761,-0.848992291508061,-8.69517375336434,0,-0.192401594103788,0.41
"35",150.147183,-35.713598,7,26,"<10","High",-15.3952609039757,-2.66837003211496,-7.10529220827068,-1.78477057264,-0.0858280909500526,-3.751
"36",150.253768,-35.57513,45,52,"<10","Low",6.97273408496699,18.3612881130768,-2.78559847856001,-0.238954444,-2.50900110555044,-5.855
"37",150.247236,-35.572268,7,69,"<10","Low",-16.495244191702,2.90826736811657,-19.7105752703837,0,0.45081371056512,-0.14375
"38",150.247349,-35.571151,32,69,"10-35","Low",-30.802202802871,-17.2417405468486,-5.6580282068522,-2.99007991296,-0.317354136210496,-4.595
"39",150.235474,-35.588161,33,68,"<10","Low",-0.255295683723986,22.9616887108772,-13.0686360844424,0,-0.368348310158876,-9.78
"40",150.268803,-35.549244,3,51,"10-35","Moderate",-4.7728010948625,2.93442587749204,-9.8033001355334,3.0587484728,-0.0376753096211673,-0.925
"41",150.269372,-35.548651,29,51,"10-35","Moderate",10.1781011970614,-12.5422960822554,25.6466272723333,0,-1.09322999301684,-1.833
"42",150.263887,-35.554446,38,51,"35+","Low",-18.276003235168,-7.21051675177213,-5.96480691342941,0,-0.625679569966287,-4.475
"43",150.266192,-35.543043,16,51,"10-35","High",-6.98731066056479,-3.3056288332635,-1.62093285032819,-0.028045040760412,-0.64270393621269,-1.39
"44",150.308159,-35.484818,4,66,"<10","Low",-49.5578447465488,-2.92823652148944,-45.439961379832,0,-0.0796468452275643,-1.11
"45",150.307889,-35.483973,60,26,"35+","Low",-74.585982087268,-92.9536754612737,26.8736588978769,4.79157831296,-3.68004383683117,-9.6175
"46",150.307435,-35.480547,44,26,"35+","Moderate",-6.868508369042,6.39588204463482,-2.61186179256944,-1.029935912,-3.14259270910763,-6.48
"47",150.309651,-35.474956,51,26,"35+","Moderate",-68.98437118697,-51.8347814298969,-10.7696380865943,0,-0.184951670478938,-6.195
"48",150.174887,-35.524801,25,16,"<10","Low",-23.480425246471,-18.2420047223508,3.48670541835618,-0.6458010192,-2.02232492327714,-6.057
"49",150.224932,-35.436434,83,18,"10-35","Low",-18.219431385985,-15.74660317868,2.58890959985185,0.4003634936,-0.487101300755124,-4.975
"50",150.186905,-35.529166,25,23,"<10","Low",-28.304075294562,-17.0684005635792,-5.59740880053259,0,-0.215765930450431,-5.4225
"51",150.13225,-35.630316,48,81,"10-35","Low",-6.35409050558711,-3.21796525443267,3.80264147288347,-0.96614766016,-1.66261906387797,-4.31
"52",150.065315,-35.680672,38,7,"10-35","High",-30.1905195713174,-10.9626670978001,-18.4848456266033,0,-0.018006846914323,-0.725
"53",150.152446,-35.786347,1,75,"<10","Low",-27.8861423226944,-3.0704,-23.8627446049992,0,0.0060022823047743,-0.959
"54",150.151685,-35.650303,41,57,"10-35","High",-18.579035237621,-2.63585999195863,-6.37980400638773,0.28666876,-0.121289999274567,-9.72875
"55",150.151376,-35.650006,17,57,"10-35","High",-0.796883942635006,-5.26562261288493,8.8736215140731,1.2258484,-0.400731243822952,-5.23
"56",150.166249,-35.663489,46,81,"10-35","High",6.24450279104501,11.183643163308,-2.06750492973054,1.8670624752,-0.0936979177324368,-4.645
"57",150.172996,-35.667991,26,56,"10-35","High",-8.06485616779401,-11.439169148893,8.50900518207542,-1.61328055696,-0.15641164401725,-3.365
"58",150.080361,-35.618592,15,48,"10-35","Low",-53.750481947681,-44.4074744692426,-2.8781605634357,-1.45866709872,-0.0171798162817833,-4.989
"59",150.058211,-35.586261,25,81,"10-35","Low",-29.080250479691,-53.4420655288299,33.9963184351708,-4.70319744,-0.98130594603143,-3.95
